,president,vice-president,prime-minister,governors,deputy prime minister,chief minister,chief justice,speaker,bharat ratna,sc_judges,businessmen,election commissioners,attorney generals,defence minister,education ministers,external affairs ministers,finance minister,home ministers,law & justice minister,railway minister,road and highways ministers,lok sabha members
0,dr. rajendra prasad,sarvepalli radhakrishnan ,jawaharlal nehru,biswabhusan harichandan,vallabhbhai patel,conrad sangma,h. j. kania,om birla,c. rajagopalachari,u. u. lalit ,gautam adani,sukumar sen,ashok desai,baldev singh,maulana abul kalam azad,jawaharlal nehru,r. k. shanmukham chetty,vallabhbhai patel,b. r. ambedkar,john mathai,john matthai,goddeti madhavi
1,dr sarvepalli radhakrishnan,zakir husain ,indira gandhi,b. d. mishra,morarji desai,m. k. stalin,m. patanjali sastri,ganesh vasudev mavalankar,sarvepalli radhakrishnan,dhananjaya y. chandrachud,mukesh ambani,kalyan sundaram,s. v. gupte,n. gopalaswami ayyangar,k. l. shrimali[a],gulzarilal nanda,jawaharlal nehru,jawaharlal nehru,kailash nath katju,n. gopalaswami ayyangar,n. gopalaswami ayyangar,ram mohan naidu kinjarapu
2,dr zakir hussain,varahagiri venkata giri ,manmohan singh,jagdish mukhi,charan singh,himanta biswa sarma,mehr chand mahajan,neelam sanjiva reddy,c. v. raman,sanjay kishan kaul,shiv nadar,s. p. sen verma,lal narayan sinha,jawaharlal nehru,humayun kabir,lal bahadur shastri,john mathai,c. rajagopalachari,charu chandra biswas,lal bahadur shastri,lal bahadur shastri,bellana chandra sekhar
3,varahagiri venkata giri,gopal swarup pathak ,narendra modi,phagu chauhan,jagjivan ram,prem singh tamang,bijan kumar mukherjea,k. s. hegde,bhagwan das,s. abdul nazeer,cyrus poonawalla,nagendra singh,kotayan katankot venugopal,kailash nath katju,m. c. chagla,swaran singh,c. d. deshmukh,kailash nath katju,ashoke kumar sen,jagjivan ram,jagjivan ram,m. v. v. satyanarayana
4,mohammad hidayatullah,b. d. jatti ,atal bihari vajpayee,anusuiya uikey,yashwantrao chavan,nitish kumar,sudhi ranjan das,bali ram bhagat,m. visvesvaraya,k. m. joseph,radhakishan damani,t. swaminathan,goolam essaji vahanvati,jawaharlal nehru,fakhruddin ali ahmed,m. c. chagla,jawaharlal nehru,govind ballabh pant,ashoke kumar sen,swaran singh,lal bahadur shastri,beesetti venkata satyavathi
5,varahagiri venkata giri,m. hidayatullah ,rajiv gandhi,p. s. sreedharan pillai,devi lal,neiphiu rio,bhuvaneshwar prasad sinha,gurdial singh dhillon,jawaharlal nehru,hemant gupta,lakshmi mittal,s. l. shakdhar,mukul rohatgi,v. k. krishna menon,triguna sen,indira gandhi,t. t. krishnamachari,lal bahadur shastri,gopal swarup pathak,h. c. dasappa,s. k. patil,vanga geetha
6,fakhruddin ali ahmed,r. venkataraman ,p. v. narasimha rao,acharya devvrat,lal krishna advani,arvind kejriwal,p. b. gajendragadkar,m. a. ayyangar,govind ballabh pant,mukesh shah,savitri jindal,r. k. trivedi,chander kishan daphtary,jawaharlal nehru,v. k. r. v. rao,dinesh singh,jawaharlal nehru,gulzarilal nanda,panampilly govinda menon,s. k. patil,p. subbarayan,chinta anuradha
7,basappa danappa jatti,shanker dayal sharma ,morarji desai,bandaru dattatreya,,bhupesh baghel,amal kumar sarkar,rabi ray,dhondo keshav karve,ajay rastogi,kumar mangalam birla,r. v. s. peri sastri,milon kumar banerji,yashwantrao chavan,siddhartha shankar ray,swaran singh,morarji desai,indira gandhi,kengal hanumanthaiah,c. m. poonacha,jagjivan ram,margani bharat
8,neelam sanjiva reddy,k. r. narayanan ,lal bahadur shastri,rajendra arlekar,,nongthombam biren singh,koka subba rao,somnath chatterjee,bidhan chandra roy,dinesh maheshwari,dilip shanghvi,v. s. ramadevi,soli jehangir sorabjee,swaran singh,s. nurul hasan[b],yashwantrao chavan,t. t. krishnamachari,yashwantrao chavan,h. r. gokhale,ram subhag singh,raj bahadur,raghu rama krishna raju
9, giani zail singh,krishan kant ,vishwanath pratap singh,ramesh bais,,mamata banerjee,kailas nath wanchoo,hukam singh,purushottam das tandon,sanjiv khanna,pallonji mistry,t. n. seshan,keshava parasaran,jagjivan ram,pratap chandra chunder,atal bihari vajpayee,sachindra chaudhuri,indira gandhi,shanti bhushan,panampilly govinda menon,neelam sanjiva reddy,kotagiri sridhar
10, ramaswamy venkataraman,bhairon singh shekhawat ,inder kumar gujral,thawar chand gehlot,,pema khandu,mohammad hidayatullah,p. a. sangma,rajendra prasad,bhushan ramkrishna gavai,uday kotak,m. s. gill,g. ramaswamy,swaran singh,karan singh,shyam nandan prasad mishra,morarji desai,uma shankar dikshit,hans raj khanna,gulzarilal nanda,v. k. r. v. rao,vallabhaneni balasouri
11, shankar dayal sharma,m. hamid ansari ,h. d. deve gowda,arif mohammad khan,,pinarayi vijayan,jayantilal chhotalal shah,balram jakhar,zakir husain,surya kant,sunil mittal,james michael lyngdoh,motilal chimanlal setalvad,indira gandhi,b. shankaranand,p. v. narasimha rao,indira gandhi,kasu brahmananda reddy,s. n. kacker,k. hanumanthaiah,kotha raghuramaiah,kesineni srinivas
12, kocheril raman narayanan,m. hamid ansari ,chandra shekhar,mangubhai c. patel,,n. rangaswamy,sarv mittra sikri,meira kumar,pandurang vaman kane,aniruddha bose,hinduja brothers,t. s. krishnamurthy,niren de,bansi lal,shankarrao chavan,indira gandhi,yashwantrao chavan,charan singh,p. shiv shankar,t. a. pai,raj bahadur,galla jayadev
13, dr. a.p.j. abdul kalam,m. venkaiah naidu ,charan singh,bhagat singh koshyari,,bhupendrabhai patel,a. n. ray,manohar joshi,lal bahadur shastri[i]#,a. s. bopanna,azim premji,b. b. tandon,,jagjivan ram,sheila kaul[c],rajiv gandhi,chidambaram subramaniam,morarji desai,jagannath kaushal,lalit narayan mishra,kamalapati tripathi,lavu sri krishna devarayalu
14, pratibha patil,jagdeep dhankhar ,gulzarilal nanda,la. ganesan,,zoramthanga,mirza hameedullah beg,sumitra mahajan,indira gandhi,krishna murari,kushal pal singh,n. gopalaswami,,chidambaram subramaniam,k. c. pant,bali ram bhagat,morarji desai,hirubhai m. patel,jagannath kaushal,kamalapati tripathi,uma shankar dikshit,nandigam suresh
15, pranab mukherjee,,,satya pal malik,,naveen patnaik,y. v. chandrachud,shivraj patil,v. v. giri,shripathi ravindra bhat,bajaj brothers,navin chawla,,indira gandhi,p. v. narasimha rao ,p. shiv shankar,hirubhai m. patel,yashwantrao chavan,ashoke kumar sen,madhu dandavate,g. s. dhillon,magunta sreenivasulu reddy
16, shri ram nath kovind,,,kambhampati hari babu,,shivraj singh chouhan,p. n. bhagwati,g. m. c. balayogi,k. kamaraj[ii]#,v. ramasubramanian,murali divi & family,s. y. quraishi,,ramaswamy venkataraman,p. shiv shankar,n. d. tiwari,charan singh,zail singh,p. shiv shankar,t. a. pai,morarji desai,pocha brahmananda reddy
17, droupadi murmu,,,jagdish mukhi (additional charge),,basavaraj bommai,raghunandan swarup pathak,,mother teresa +,hrishikesh roy,gopikishan damani,v. s. sampath,,shankarrao chavan,v. p. singh,rajiv gandhi,morarji desai,ramaswamy venkataraman,bindeshwari dubey,kamalapati tripathi,anant prasad sharma,sanjeev kumar
18,,,,ganeshi lal,,pramod sawant,engalaguppe seetharamiah venkataramiah,,vinoba bhave[iii]#,a. s. oka,ashwin dani,harishankar brahma,,p. v. narasimha rao,rajmangal pandey,p. v. narasimha rao,hemwati nandan bahuguna,prakash chandra sethi,b. shankaranand,kedar pandey,veerendra patil,talari rangaiah
19,,,,banwarilal purohit,,kalvakuntla chandrasekhar rao,sabyasachi mukharji,,abdul ghaffar khan*,vikram nath,hasmukh chudgar & family,nasim zaidi,,rajiv gandhi,arjun singh,v. p. singh,charan singh,p. v. narasimha rao,dinesh goswami,prakash chandra sethi,c. m. stephen,kuruva gorantla madhav
20,,,,kalraj mishra,,vacant,ranganath misra,,m. g. ramachandran[iv][d]#,jitendra kumar maheshwari,benu gopal bangur,achal kumar jyoti,,vishwanath pratap singh,p. v. narasimha rao,i. k. gujral,r. venkataraman,shankarrao chavan,subramanian swamy,a. b. a. ghani khan choudhury,kotla vijaya bhaskara reddy,y. s. avinash reddy
21,,,,ganga prasad,,yogi adityanath,kamal narain singh,,b. r. ambedkar[v]#,hima kohli,mahendra choksi & family,om prakash rawat,,k. c. pant,madhavrao scindia,chandra shekhar[1],pranab mukherjee,p. v. narasimha rao,kotla vijaya bhaskara reddy,bansi lal ,veerendra patil,adala prabhakara reddy
22,,,,r. n. ravi,,hemant soren,madhukar hiralal kania,,nelson mandela*,b. v. nagarathna,rakesh jhunjhunwala,sunil arora,,vishwanath pratap singh,p. v. narasimha rao,vidya charan shukla,vishwanath pratap singh,buta singh,p. v. narasimha rao,mohsina kidwai  ,ziaur rahman ansari ,balli durga prasad rao [1]
23,,,,tamilisai soundararajan,,y. s. jagan mohan reddy,lalit mohan sharma,,rajiv gandhi[vi]#,c. t. ravikumar,m. a. yusuff ali,sushil chandra,,chandra shekhar,atal bihari vajpayee,chandra shekhar[2],rajiv gandhi,mufti mohammad sayeed,ram jethmalani,madhavrao scindia ,bansi lal,maddila gurumoorthy 
24,,,,satyadev narayan arya,,bhagwant mann,m. n. venkatachaliah,,vallabhbhai patel[vii]#,m. m. sundresh,ravi jaipuria,rajiv kumar,,p. v. narasimha rao,s. r. bommai,madhavsinh solanki,n. d. tiwari,chandra shekhar,p chidambaram,george fernandes,mohsina kidwai,p. v. midhun reddy
25,,,,anandiben patel,,jai ram thakur,aziz mushabber ahmadi,,morarji desai[e],bela trivedi,kapil & rahul bhatia,,,sharad pawar,murli manohar joshi,p. v. narasimha rao,shankarrao chavan,shankarrao chavan,ramakant khalap  ,janeshwar mishra,rajesh pilot ,n. reddeppa
26,,,,gurmit singh,,pushkar singh dhami,j. s. verma,,abul kalam azad[viii][f]#,p. s. narasimha,,,,p. v. narasimha rao,arjun singh,dinesh singh,madhu dandavate,murli manohar joshi,ramakant khalap  ,c. k. jaffer sharief,k. p. unnikrishnan,kiren rijiju
27,,,,la. ganesan (additional charge),,eknath shinde,madan mohan punchhi,,j. r. d. tata,sudhanshu dhulia,,,,pramod mahajan,kapil sibal,pranab mukherjee,yashwant sinha,h. d. deve gowda,m. thambidurai,ram vilas paswan,manubhai kotadia,tapir gao
28,,,,,,manik saha,adarsh sein anand,,satyajit ray,jamshed burjor pardiwala,,,,mulayam singh yadav,m. m. pallam raju,sikander bakht,manmohan singh,indrajit gupta,p r kumaramangalam,nitish kumar,chandra shekhar,kripanath mallah
29,,,,,,manohar lal khattar,sam piroj bharucha,,gulzarilal nanda,,,,,george fernandes,smriti irani,i. k. gujral,jaswant singh,l. k. advani,ram jethmalani,ram naik,jagdish tytler ,rajdeep roy
30,,,,,,ashok gehlot,bhupinder nath kirpal,,aruna asaf ali[ix]#,,,,,jaswant singh,prakash javadekar,atal bihari vajpayee,p. chidambaram,shivraj patil,arun jaitley  ,mamata banerjee,m. rajasekara murthy ,horen sing bey
31,,,,,,,gopal ballav pattanaik,,a. p. j. abdul kalam,,,,,george fernandes,ramesh pokhriyal [1],jaswant singh,i. k. gujral,p. chidambaram,jana krishnamurthy,nitish kumar,atal bihari vajpayee,badruddin ajmal
32,,,,,,,v. n. khare,,m. s. subbulakshmi,,,,,pranab mukherjee,dharmendra pradhan,yashwant sinha,p. chidambaram,sushilkumar shinde,arun jaitley,lalu prasad yadav,t. g. venkatraman,naba kumar sarania
33,,,,,,,s. rajendra babu,,c. subramaniam,,,,,a. k. antony,,natwar singh,yashwant sinha,rajnath singh,h. r. bhardwaj,mamata banerjee,r. muthiah,abdul khaleque
34,,,,,,,ramesh chandra lahoti,,jayaprakash narayan[x]#,,,,,arun jaitley,,manmohan singh,jaswant singh,amit shah,veerappa moily,dinesh trivedi,m. thambidurai,queen oja
35,,,,,,,yogesh kumar sabharwal,,amartya sen,,,,,manohar parrikar,,pranab mukherjee,p. chidambaram,,salman khurshid,mukul roy,nitish kumar,dilip saikia
36,,,,,,,k. g. balakrishnan,,gopinath bordoloi[xi]#,,,,,arun jaitley,,s. m. krishna,manmohan singh,,ashwani kumar,c. p. joshi,jaswant singh,pallab lochan das
37,,,,,,,s. h. kapadia,,ravi shankar,,,,,nirmala sitharaman,,salman khurshid,pranab mukherjee,,kapil sibal,pawan kumar bansal,nitish kumar,pradyut bordoloi
38,,,,,,,altamas kabir,,lata mangeshkar,,,,,rajnath singh,,sushma swaraj,manmohan singh,,ravi shankar prasad,c. p. joshi,rajnath singh,gaurav gogoi
39,,,,,,,p. sathasivam,,bismillah khan,,,,,,,subrahmanyam jaishankar,p. chidambaram,,d. v. sadananda gowda,mallikarjun kharge,atal bihari vajpayee,topon kumar gogoi
40,,,,,,,rajendra mal lodha,,bhimsen joshi,,,,,,,,arun jaitley,,ravi shankar prasad,d. v. sadananda gowda,b. c. khanduri ,rameswar teli
41,,,,,,,h. l. dattu,,c. n. r. rao,,,,,,,,nirmala sitharaman,,kiren rijiju,suresh prabhu,t. r. baalu,pradan baruah
42,,,,,,,t. s. thakur,,sachin tendulkar,,,,,,,,,,,piyush goyal,kamal nath,baidyanath prasad mahto [2]
43,,,,,,,jagdish singh khehar,,madan mohan malaviya[xii]#,,,,,,,,,,,ashwini vaishnaw,c. p. joshi,sunil kumar 
44,,,,,,,dipak misra,,atal bihari vajpayee,,,,,,,,,,,,oscar fernandes,sanjay jaiswal
45,,,,,,,ranjan gogoi,,pranab mukherjee,,,,,,,,,,,,nitin gadkari,radha mohan singh
46,,,,,,,sharad arvind bobde,,bhupen hazarika[xiii]#,,,,,,,,,,,,,rama devi
47,,,,,,,n. v. ramana,,nanaji deshmukh[xiv]#,,,,,,,,,,,,,sunil kumar pintu
48,,,,,,,u. u. lalit (incumbent),,,,,,,,,,,,,,,ashok kumar yadav
49,,,,,,,,,,,,,,,,,,,,,,ramprit mandal
50,,,,,,,,,,,,,,,,,,,,,,dileshwar kamait
51,,,,,,,,,,,,,,,,,,,,,,pradeep kumar singh
52,,,,,,,,,,,,,,,,,,,,,,mohammad jawed
53,,,,,,,,,,,,,,,,,,,,,,dulal chandra goswami
54,,,,,,,,,,,,,,,,,,,,,,santosh kumar
55,,,,,,,,,,,,,,,,,,,,,,dinesh chandra yadav
56,,,,,,,,,,,,,,,,,,,,,,gopal jee thakur
57,,,,,,,,,,,,,,,,,,,,,,ajay nishad
58,,,,,,,,,,,,,,,,,,,,,,veena devi
59,,,,,,,,,,,,,,,,,,,,,,alok kumar suman
60,,,,,,,,,,,,,,,,,,,,,,kavita singh
61,,,,,,,,,,,,,,,,,,,,,,janardan singh sigriwal
62,,,,,,,,,,,,,,,,,,,,,,rajiv pratap rudy
63,,,,,,,,,,,,,,,,,,,,,,pashupati kumar paras
64,,,,,,,,,,,,,,,,,,,,,,nityanand rai
65,,,,,,,,,,,,,,,,,,,,,,ram chandra paswan [3]
66,,,,,,,,,,,,,,,,,,,,,,prince raj 
67,,,,,,,,,,,,,,,,,,,,,,giriraj singh
68,,,,,,,,,,,,,,,,,,,,,,mehboob ali kaiser
69,,,,,,,,,,,,,,,,,,,,,,ajay kumar mandal
70,,,,,,,,,,,,,,,,,,,,,,giridhari yadav
71,,,,,,,,,,,,,,,,,,,,,,lalan singh
72,,,,,,,,,,,,,,,,,,,,,,kaushalendra kumar
73,,,,,,,,,,,,,,,,,,,,,,ravi shankar prasad
74,,,,,,,,,,,,,,,,,,,,,,ram kripal yadav
75,,,,,,,,,,,,,,,,,,,,,,raj kumar singh
76,,,,,,,,,,,,,,,,,,,,,,ashwini kumar choubey
77,,,,,,,,,,,,,,,,,,,,,,chhedi paswan
78,,,,,,,,,,,,,,,,,,,,,,mahabali singh
79,,,,,,,,,,,,,,,,,,,,,,chandeshwar prasad
80,,,,,,,,,,,,,,,,,,,,,,sushil kumar singh
81,,,,,,,,,,,,,,,,,,,,,,vijay kumar manjhi
82,,,,,,,,,,,,,,,,,,,,,,chandan singh
83,,,,,,,,,,,,,,,,,,,,,,chirag paswan
84,,,,,,,,,,,,,,,,,,,,,,renuka singh
85,,,,,,,,,,,,,,,,,,,,,,gomati sai
86,,,,,,,,,,,,,,,,,,,,,,guharam ajgalle
87,,,,,,,,,,,,,,,,,,,,,,jyotsna mahant
88,,,,,,,,,,,,,,,,,,,,,,arun sao
89,,,,,,,,,,,,,,,,,,,,,,santosh pandey
90,,,,,,,,,,,,,,,,,,,,,,vijay baghel
91,,,,,,,,,,,,,,,,,,,,,,sunil kumar soni
92,,,,,,,,,,,,,,,,,,,,,,chunni lal sahu
93,,,,,,,,,,,,,,,,,,,,,,deepak baij
94,,,,,,,,,,,,,,,,,,,,,,mohan mandavi
95,,,,,,,,,,,,,,,,,,,,,,shripad yesso naik
96,,,,,,,,,,,,,,,,,,,,,,francisco sardinha
97,,,,,,,,,,,,,,,,,,,,,,vinodbhai chavda
98,,,,,,,,,,,,,,,,,,,,,,parbatbhai patel
99,,,,,,,,,,,,,,,,,,,,,,bharatsinhji dabhi
100,,,,,,,,,,,,,,,,,,,,,,shardaben patel
101,,,,,,,,,,,,,,,,,,,,,,dipsinh shankarsinh rathod
102,,,,,,,,,,,,,,,,,,,,,,amit shah
103,,,,,,,,,,,,,,,,,,,,,,hasmukh patel
104,,,,,,,,,,,,,,,,,,,,,,kirit premjibhai solanki
105,,,,,,,,,,,,,,,,,,,,,,mahendra munjapara
106,,,,,,,,,,,,,,,,,,,,,,mohan kundariya
107,,,,,,,,,,,,,,,,,,,,,,rameshbhai dhaduk
108,,,,,,,,,,,,,,,,,,,,,,poonamben maadam
109,,,,,,,,,,,,,,,,,,,,,,rajesh chudasama
110,,,,,,,,,,,,,,,,,,,,,,naranbhai kachhadia
111,,,,,,,,,,,,,,,,,,,,,,bharti shiyal
112,,,,,,,,,,,,,,,,,,,,,,mitesh rameshbhai patel
113,,,,,,,,,,,,,,,,,,,,,,devusinh jesingbhai chauhan
114,,,,,,,,,,,,,,,,,,,,,,ratansinh rathod
115,,,,,,,,,,,,,,,,,,,,,,jasvantsinh sumanbhai bhabhor
116,,,,,,,,,,,,,,,,,,,,,,ranjanben dhananjay bhatt
117,,,,,,,,,,,,,,,,,,,,,,gitaben rathva
118,,,,,,,,,,,,,,,,,,,,,,mansukhbhai vasava
119,,,,,,,,,,,,,,,,,,,,,,parbhubhai vasava
120,,,,,,,,,,,,,,,,,,,,,,darshana jardosh
121,,,,,,,,,,,,,,,,,,,,,,c. r. patil
122,,,,,,,,,,,,,,,,,,,,,,k c patel
123,,,,,,,,,,,,,,,,,,,,,,rattan lal kataria
124,,,,,,,,,,,,,,,,,,,,,,nayab singh saini
125,,,,,,,,,,,,,,,,,,,,,,sunita duggal
126,,,,,,,,,,,,,,,,,,,,,,brijendra singh
127,,,,,,,,,,,,,,,,,,,,,,sanjay bhatia
128,,,,,,,,,,,,,,,,,,,,,,ramesh chander kaushik
129,,,,,,,,,,,,,,,,,,,,,,arvind kumar sharma
130,,,,,,,,,,,,,,,,,,,,,,dharambir singh
131,,,,,,,,,,,,,,,,,,,,,,rao inderjit singh
132,,,,,,,,,,,,,,,,,,,,,,krishan pal gurjar
133,,,,,,,,,,,,,,,,,,,,,,kishan kapoor
134,,,,,,,,,,,,,,,,,,,,,,ram swaroop sharma 
135,,,,,,,,,,,,,,,,,,,,,,pratibha singh 
136,,,,,,,,,,,,,,,,,,,,,,anurag thakur
137,,,,,,,,,,,,,,,,,,,,,,suresh kumar kashyap
138,,,,,,,,,,,,,,,,,,,,,,vijay hansdak
139,,,,,,,,,,,,,,,,,,,,,,sunil soren
140,,,,,,,,,,,,,,,,,,,,,,nishikant dubey
141,,,,,,,,,,,,,,,,,,,,,,sunil kumar singh
142,,,,,,,,,,,,,,,,,,,,,,annapurna devi yadav
143,,,,,,,,,,,,,,,,,,,,,,chandra prakash choudhary
144,,,,,,,,,,,,,,,,,,,,,,pashupati nath singh
145,,,,,,,,,,,,,,,,,,,,,,sanjay seth
146,,,,,,,,,,,,,,,,,,,,,,bidyut baran mahato
147,,,,,,,,,,,,,,,,,,,,,,geeta koda
148,,,,,,,,,,,,,,,,,,,,,,arjun munda
149,,,,,,,,,,,,,,,,,,,,,,sudarshan bhagat
150,,,,,,,,,,,,,,,,,,,,,,vishnu dayal ram
